Year,Month,Day,Flag.Tsunami,Flag.Earthquake,Volcano.Name,Location,Country,Elevation,Volcano.Type,Status,Volcanic.Explosivity.Index,Volcano...Deaths,Volcano...Deaths.Description,Volcano...Missing,Volcano...Missing.Description,Volcano...Injuries,Volcano...Injuries.Description,Volcano...Damage..in.M..,Volcano...Damage.Description,Volcano...Houses.destroyed,Volcano...Houses.destroyed.Description,Total.Effects...Deaths,Total.Effects...Deaths.Description,Total.Effects...Missing,Total.Effects...Missing.Description,Total.Effects...Injuries,Total.Effects...Injuries.Description,Total.Effects...Damages.in.million.Dollars,Total.Effects...Damage.Description,Total.Effects...Houses.Destroyed,Total.Effects...Houses.Destroyed.Description,Coordinates,Earthquakes...Houses.damaged.Description,Total.Effects...Houses.Damaged.Description,RowNumber
1963,5.0,16.0,,Earthquake,Agung,Lesser Sunda Is,Indonesia,3142.0,Stratovolcano,Historical,3.0,120.0,Some (~51 to 100 deaths),,,,,,,,,120.0,Some (~51 to 100 deaths),,,,,,,,,-8.342,,,746
1969,3.0,21.0,Tsunami,,Didicas,Luzon-N of,Philippines,244.0,Compound volcano,Historical,2.0,,,,,,,,,,,3.0,Few (~1 to 50 deaths),,,,,,,,,19.077,,,747
1997,4.0,17.0,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784.0,Stratovolcano,Historical,1.0,3.0,Few (~1 to 50 deaths),,,,,,,,,3.0,Few (~1 to 50 deaths),,,,,,,,,2.78,,,748
2000,7.0,27.0,,,Semeru,Java,Indonesia,3676.0,Stratovolcano,Historical,3.0,2.0,Few (~1 to 50 deaths),,,,,,,,,2.0,Few (~1 to 50 deaths),,,,,,,,,-8.108,,,749
2009,11.0,30.0,,,Kilauea,Hawaiian Is,United States,1222.0,Shield volcano,Historical,,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,MODERATE (~$1 to $5 million),,,19.425,,,750
2011,1.0,3.0,,,Merapi,Java,Indonesia,2947.0,Stratovolcano,Historical,,1.0,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,,1.0,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,,-7.542,,,751
-1550,8.0,15.39258114374034,,,Redoubt,Alaska-SW,United States,3108.0,Stratovolcano,Historical,,,,,,,,,,,,,,,,,,,,,,60.48,,,752
-250,8.0,15.39258114374034,,,Raoul Island,Kermadec Is,New Zealand,516.0,Stratovolcano,Historical,6.0,,,,,,,,,,,,,,,,,,,,,-29.27,,,753
1640,7.0,31.0,Tsunami,Earthquake,Komaga-take,Hokkaido-Japan,Japan,1140.0,Stratovolcano,Historical,5.0,,,,,,,,,,,700.0,Many (~101 to 1000 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),20.0,Few (~1 to 50 houses),42.07,,,754
1785,4.0,18.0,,,Aoga-shima,Izu Is-Japan,Japan,423.0,Stratovolcano,Historical,3.0,135.0,Many (~101 to 1000 deaths),,,,,,,,,135.0,Many (~101 to 1000 deaths),,,,,,,,,32.45,,,755
1812,8.0,6.0,,,Awu,Sangihe Is-Indonesia,Indonesia,1320.0,Stratovolcano,Historical,3.0,953.0,Many (~101 to 1000 deaths),,,,,,,,,953.0,Many (~101 to 1000 deaths),,,,,,,,,3.67,,,756
1853,6.0,24.0,,,Niuafo'ou,Tonga-SW Pacific,Tonga,260.0,Shield volcano,Historical,0.0,25.0,Few (~1 to 50 deaths),,,,,,,,,25.0,Few (~1 to 50 deaths),,,,,,,,,-15.6,,,757
