Year,Month,Day,Flag.Tsunami,Flag.Earthquake,Volcano.Name,Location,Country,Elevation,Volcano.Type,Status,Volcanic.Explosivity.Index,Volcano...Deaths,Volcano...Deaths.Description,Volcano...Missing,Volcano...Missing.Description,Volcano...Injuries,Volcano...Injuries.Description,Volcano...Damage..in.M..,Volcano...Damage.Description,Volcano...Houses.destroyed,Volcano...Houses.destroyed.Description,Total.Effects...Deaths,Total.Effects...Deaths.Description,Total.Effects...Missing,Total.Effects...Missing.Description,Total.Effects...Injuries,Total.Effects...Injuries.Description,Total.Effects...Damages.in.million.Dollars,Total.Effects...Damage.Description,Total.Effects...Houses.Destroyed,Total.Effects...Houses.Destroyed.Description,Coordinates,Earthquakes...Houses.damaged.Description,Total.Effects...Houses.Damaged.Description,RowNumber
1901,5.0,22.0,,,Kelut,Java,Indonesia,1731.0,Stratovolcano,Historical,3.0,,Some (~51 to 100 deaths),,,,,,,,,,Some (~51 to 100 deaths),,,,,,,,,-7.93,,,822
1911,1.0,30.0,Tsunami,Earthquake,Taal,Luzon-Philippines,Philippines,400.0,Stratovolcano,Historical,3.0,1335.0,Very Many (~1001 or more deaths),,,199.0,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),543.0,Many (~101 to 1000 houses),1335.0,Very Many (~1001 or more deaths),,,199.0,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),543.0,Many (~101 to 1000 houses),14.002,,,823
1917,1.0,1.0,,,Lengai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824
1921,11.0,26.0,,,Nasu,Honshu-Japan,Japan,1917.0,Stratovolcano,Historical,,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,37.12,,,825
1933,5.0,10.0,,,Hakone,Honshu-Japan,Japan,1438.0,Complex volcano,Radiocarbon,,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,35.22,,,826
1941,9.0,21.0,,,Semeru,Java,Indonesia,3676.0,Stratovolcano,Historical,2.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,-8.108,,,827
1944,6.0,23.0,,,Usu,Hokkaido-Japan,Japan,731.0,Stratovolcano,Historical,2.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,42.53,,,828
1947,11.0,2.0,,,Hekla,Iceland-S,Iceland,1491.0,Stratovolcano,Historical,4.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,63.98,,,829
1976,8.0,3.0,,,Kusatsu-Shirane,Honshu-Japan,Japan,2176.0,Stratovolcano,Historical,,3.0,Few (~1 to 50 deaths),,,,,,,,,3.0,Few (~1 to 50 deaths),,,,,,,,,36.62,,,830
1979,7.0,5.0,,,Etna,Italy,Italy,3350.0,Stratovolcano,Historical,2.0,9.0,Few (~1 to 50 deaths),,,23.0,Few (~1 to 50 deaths),,,,,9.0,Few (~1 to 50 deaths),,,23.0,Few (~1 to 50 deaths),,,,,37.734,,,831
1982,5.0,17.0,,,Galunggung,Java,Indonesia,2168.0,Stratovolcano,Historical,4.0,68.0,Some (~51 to 100 deaths),,,,,15.0,SEVERE (~>$5 to $24 million),,,68.0,Some (~51 to 100 deaths),,,,,15.0,SEVERE (~>$5 to $24 million),,,-7.25,,,832
1988,7.0,6.0,,,Arenal,Costa Rica,Costa Rica,1657.0,Stratovolcano,Historical,3.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,10.463,,,833
2005,11.0,24.0,,,Karthala,Indian O-W,Comoros,2361.0,Shield volcano,Historical,,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,-11.75,,,834
2010,12.0,28.0,,,Tengger Caldera,Java,Indonesia,2329.0,Stratovolcano,Historical,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,-7.942,,,835
